position,user,score
756,anonymous user #3813216,49
761,Pontus Walck ,48
761,Liwei Cai,48
761,Joe L.,48
761,Dawn Drain,48
761,Dmitry Ivanov,48
761,Shemetz,48
767,Abraham Guo,47
767,dkalak,47
767,JsonJ__,47
767,cadybaltz,47
767,Pavel Egorov,47
767,Mateusz Kopeć,47
773,Joshua Dunbrack,46
773,taesungh,46
773,Alexander Pfanne,46
773,Pradeep Mathias,46
773,Nik Sauer,46
778,mewnian,45
778,Tommy Vadakumchery,45
778,nwtnni,45
778,Joey Thaman,45
778,kajott,45
783,Badtz,44
783,miriam-rittenberg,44
783,nandhagk,44
783,Mile Druzijanic,44
783,Can Berk Güder,44
783,Mike Marcelais ,44
783,Guillaume Brunerie,44
790,Casey Bolton,43
790,Matthew Boehm,43
790,sun-bachung,43
790,fmoeran,43
790,Ethan Tillison,43
795,Kevin Bienvenu,42
795,Lukáš Folwarczný,42
795,Sreekanth Krishnankutty Nair,42
795,Philipp Lenk,42
795,Ed Murphy,42
800,Lalsin Nilian,41
800,anonymous user #3187566,41
800,matthewd,41
800,andreas-hilti ,41
804,Vinay Goel,40
804,ssieb,40
804,drougge,40
804,Charles Lien,40
804,KyleNo,40
804,Marcus Takvam Lexander,40
804,ykrukovsky,40
811,Kelly Dance,39
811,ezraft,39
811,CY Wong,39
811,Sese Müller,39
811,Béla Mérvadó ,39
811,Willie Zhu,39
811,anonymous user #27126,39
811,cvooster,39
811,Clayton Smith ,39
820,Özgün Özusta,38
821,elnardu,37
821,otisdog8,37
821,Arthur Bright,37
821,bmachado1,37
821,ndimov,37
821,Sead Durakovic,37
821,Graham White ,37
821,Maj Stenmark,37
821,anjhe18,37
821,aMarkSnyder,37
831,Enkhsanaa,36
831,IsabelleB75,36
831,Greg Zborovsky,36
831,MatthewB384,36
831,Sohom Sahaun,36
831,Alena Yadvichuk,36
831,viceroypenguin,36
831,Evan Jeffrey,36
831,Pakkapong Sricharoen,36
831,LarsvanDartel,36
841,Samuel Pasierb,35
841,CodingAP,35
841,Kateba ,35
841,Esteban de la Canal,35
841,Minespeed1009 Gaming,35
841,factorio1234,35
841,lamkashingpaul,35
841,sergey-senozhatsky,35
849,whaatt,34
849,jenna8844,34
849,pvillano,34
849,Yuliy Pisetsky,34
849,Max Bowman,34
849,Yash-Singh1,34
849,alexd298,34
856,Lars Haulin ,33
856,Ethan Luo,33
856,Alexandre Dewilde,33
856,Nate Paymer,33
856,Crowthebird,33
856,Thomas Tu,33
856,Connor Harris,33
856,jontmy,33
856,SKAUL05,33
865,Nikhil Menon,32
865,CPlusMinus2000,32
865,sandbergjakob,32
865,vincentwoo,32
865,Frode Johannesen ,32
865,anonymous user #3623184,32
871,bjebert,31
871,Roman Elizarov,31
871,kcmyang,31
871,Ahmed Ossama,31
871,Dawn Chen,31
871,Isaac Morgan,31
877,Jakub Kotrs,30
877,isnbh0,30
877,gemdude46,30
877,mahbubul hasan,30
877,tsreaper,30
877,James Pringle,30
877,Mehran Siddiqui,30
877,Hillo111,30
885,JLMadsen,29
885,Vaks kavs,29
885,eeuropium,29
885,SimpleArt,29
885,Leon Bröckers ,29
890,CarbonIce,28
890,harrison truscott,28
890,Bailey Butler,28
890,Daniel Breiner,28
890,anonymous user #1917058,28
890,Brian Zhou ,28
890,ascharpegge,28
890,Sebastian Claici,28
898,Tyler Lemburg,27
898,Espiobest,27
898,Jeroen Bransen,27
898,anonymous user #1213461,27
898,Shashank Bhatt,27
898,Adsalor,27
898,Gleb Mazovetskiy,27
898,Andrew Nestor Garzon,27
906,Sheler_,26
906,Adam Hutchings,26
906,alchzh,26
906,Isaac Peterson,26
906,Shahan Mir,26
911,Mateus Sze Cosenza,25
911,Kendall Yu ,25
911,Pervushin brothers,25
911,Luke Moran,25
911,Adam Gausmann,25
911,WildUtah,25
911,DevilSquirrel,25
911,Eugene Chernyshov (Evgenus),25
919,Yabk,24
919,AlexJones0,24
919,Ben Taylor,24
919,AndersTornkvist,24
919,DeadlyRedCube,24
919,Henrik Ygge,24
925,Jordan Richards,23
925,ellellie,23
925,sblom,23
925,anonymous user #393546,23
925,David Philipson,23
925,Jack Iannamorelli,23
925,Kevin Gasperich,23
925,anonymous user #289309,23
925,Kai Burjack,23
925,ola-n-nilsson,23
935,Chase Hadley,22
935,Olive Prichard,22
935,Vishnu Remesh,22
935,Gaurav Gosain,22
935,Dennis Hu,22
935,Vincent Schoonveld,22
935,anonymous user #2569289,22
942,kyleyarwood,21
942,Jason Feng,21
942,btrotta,21
942,jlallas384,21
942,Werner Altewischer,21
942,xelf,21
942,Icantknow,21
942,Gabriel Diaconita,21
950,chrwoods,20
950,tom-fibo,20
950,jamesjjx,20
950,meew0,20
950,mlevesquedion,20
950,Róbert Bán ,20
950,Rahul Gandharva ,20
957,Thibaud Maurel,19
957,Zayne Siew,19
957,Patrick Coleman,19
957,ConsiderPhlebas,19
957,anonymous user #1640821,19
957,ENAILIS,19
957,aditsu,19
957,Shayne Holmes,19
957,rchalamala,19
966,Olivia Kaufman,18
966,Lionel Foxcroft,18
966,sportshead,18
966,Wouter van Heyst,18
966,Geoff Zheng ,18
966,anonymous user #3625196,18
966,Ross MacArthur,18
973,El Mas,17
973,Mark Wen,17
973,Rohan Wadhawan,17
973,aidangottlieb ,17
973,Dmitry Yantsen ,17
978,Sebastian Aigner,16
978,Daniel Cepeda,16
978,lbud,16
978,tpospisi,16
978,Arrowbounce,16
983,MikeXander,15
983,Chris Petit,15
983,Isse,15
983,Jacob Guglielmin,15
983,Turkhuu Batbayar,15
983,MLMANPT,15
983,Eagle Diao,15
983,Ferdinand Davidenko ,15
983,Harry Zhang,15
983,Artuur-Oerlemans,15
983,Jordan Perry,15
983,Solra Bizna,15
983,mbel0,15
983,@iffify,15
997,anonymous user #2403605,14
997,Summata Notata,14
997,xiayuhuazhang,14
997,racsosabe,14
997,t-brieger,14
997,TXort,14
997,mokotturu,14
997,sudhackar,14
997,Frank Lin,14
997,Steven McConomy,14
997,Disnaming,14
1008,Timothy Gonzalez,13
1008,Jeff Zhang,13
1008,Patryk G,13
1008,Jason Newman,13
1008,Kai Si ,13
1008,Kåre von Geijer,13
1008,Alexander Fu,13
1008,Karan Bardhan,13
1016,Jérémy Guillot,12
1016,flatypus,12
1016,Dan Katz,12
1016,Zach Farr,12
1016,anonymous user #2038911,12
1016,Emanuel Särnhammar,12
1016,Valokoodari,12
1023,lilweege,11
1023,Ryan Eaton,11
1023,denilblecodeur,11
1023,radoslav11,11
1023,Yves Delley,11
1023,Arthur Rudolph,11
1023,Sławek Biel ,11
1023,Fragger,11
1023,Justin Xu,11
1023,arichnad,11
1023,B00TK1D,11
1034,stristr,10
1034,yellowsubmarine1447,10
1034,drdilyor,10
1034,ilikecubesnstuff,10
1034,sschr15,10
1034,Dominika Javorová,10
1034,jzhe727,10
1034,Olivia Mackall,10
1034,timreyn,10
1034,Vladyslav Burakov,10
1034,Rascal_Two,10
1034,David Kuleniuk,10
1046,Elijah-Huang,9
1046,Samuel B,9
1046,elephantae,9
1046,Konstantin,9
1046,Hugues Hoppe ,9
1046,Radu Grigore,9
1046,RodrigoLlanes,9
1046,Riley,9
1046,Max Tsishkouski,9
1046,Gustav Gans,9
1046,joshuaruegge,9
1046,Ivanidzo4ka,9
1046,Borut Levart,9
1059,cup2of2tea,8
1059,Sploder12,8
1059,gsou,8
1059,aaa a,8
1059,@liviuchircu,8
1059,zeyonaut,8
1059,jimscchen,8
1059,Iliya Yanev,8
1059,Kaaden RumanCam,8
1059,JYC,8
1059,Footkick72,8
1059,joosu77,8
1059,Jonathan Price,8
1059,Théo Lecerf,8
1059,Thomas Lindae,8
1074,trigtbh,7
1074,Alex MF,7
1074,mvolfik,7
1074,Sagartoke510,7
1074,Saketh Reddy,7
1074,PotentialStyx,7
1074,L4Vo5,7
1081,EIFY,6
1081,n1punp,6
1081,Stewart Wilcox,6
1081,Jean-Noël Monette,6
1081,Oleg Godovykh,6
1081,Emmanuel Thomé,6
1087,orfest,5
1087,Eric Wang,5
1087,Saji Kamdod ,5
1087,BradfordC,5
1087,kdvkrs,5
1087,Tam An Le Quang,5
1087,pppery,5
1087,Lauri Kenttä,5
1087,Pauline,5
1087,John Churchill,5
1097,jacobparish,4
1097,ilg,4
1097,John,4
1097,Teferi,4
1097,ishmeals,4
1097,Kacper Topolski,4
1097,Alex Steele,4
1097,anonymous user #3336632,4
1097,Andreas Björklund ,4
1097,Jason Henline,4
1097,Marko Gartnar,4
1108,ouwou,3
1108,Dmytro Kozhevin,3
1108,jakingy,3
1108,Kunal Chattopadhyay,3
1108,Noah Overcash,3
1108,parthsarin,3
1108,maguire-w-j,3
1115,Julian Baldus,2
1115,Sampriti Panda,2
1115,Luke-Sheltraw,2
1115,Bradon Zhang,2
1115,terrance-li,2
1115,Sandra van Schouwenburg,2
1115,Satya Anshu,2
1115,Jacob Smith (j_p_smith),2
1115,jonathan-lemos,2
1115,anonymous user #3708199,2
1115,anonymous user #3316978,2
1115,attempt0,2
1127,Joshua Broeksteeg ,1
1127,Cameron Montag ,1
1127,Alex Waese-Perlman,1
1127,matthewyu01,1
1127,Dan Roche,1
1127,Andrew Li,1
1127,zachs18,1
1127,spampacc,1
1127,stazarzxy,1
1127,Jon Eisen,1
1127,Archie Macrae,1
1127,fnuttplus,1
